TreeID,date,spp,DBH (in),CW (ft),conks,trunk scar,dead/broken branches,poor branch health,comments,n_gypsy_moths,n_lichen_patches,n_lichen_morphospecies,percent_cover_lichen,n_little_holes
627,10-11-2020,better put genus or species here ro whatever we will match to in R,7.5,14.16,0,0,0,0,,,,,,
629,10-11-2020,,8.75,10.83,0,1,0,0,,,,,,
630,10-11-2020,,7.5,12.5,0,0,1,0,,,,,,
631,10-11-2020,,5,5,0,3,1,1,trunk cut; one living branch,,,,,
642,10-11-2020,,11.25,28.32,0,0,1,0,,,,,,
643,10-11-2020,,8.75,25,0,1,1,0,,,,,,
641,10-11-2020,,6.75,10,0,0,1,0,,,,,,
652,10-11-2020,,9.25,21.66,0,1,0,0,,,,,,
649,10-11-2020,,9,16.66,0,1,0,0,,,,,,
646,10-11-2020,,11.5,18.33,0,1,1,0,,,,,,
650,10-11-2020,,6,28.32,0,2,0,0,,,,,,
651,10-11-2020,,8.33,14.16,0,1,0,0,,,,,,
648,10-11-2020,,7,10.83,0,1,0,0,stripped bark on branch,,,,,
647,10-11-2020,,,,,,,,,,,,,
654,10-11-2020,,7.13,13.33,0,0,1,0,,,,,,
655,10-11-2020,,12.25,20,0,2,1,0,,,,,,
656,10-11-2020,,8,13.33,0,1,1,0,stripped bark on branch ,,,Bird Nest,,
657,10-11-2020,,10.6,25,0,1,0,0,,,,,,
658,10-11-2020,,14,28.32,0,1,1,0,,,,,,
659,10-11-2020,,16/9,20.33,0,2,1,0,trunk split,,,,,
660,10-11-2020,,16,47.49,0,1,1,0,,,,,,
661,10-11-2020,,6.5,11.66,0,1,0,0,,,,,,
662,10-11-2020,,11.38,14.16,0,1,0,0,,,,,,
663,10-11-2020,,10.25,10.83,0,1,2,1,,,,,,
664,10-11-2020,,10/11.45,32.49,0,0,1,0,trunk split near bottom,,,,,
665,10-11-2020,,9.65,27.489,0,1,1,0,trunk split near bottom,,,,,